Author Username,Comment,Rating,Date
s*****i,"Quality:Good
Taste:Good

This is my second time buying. The taste is good, great for paste. Time malas, goreng je ayam lepas tu bubuh cili lado, settle",5,1697542660
n*****7,Alhamdulillah sudah diterima hari ini. Bekum rasa lagi. Harap sedap seperti yang diuar kan di FB. Pacakaging terbaik sebab bubble wrap tebal supaya botol sampai dengan selamat. Terima kasih. Saya beli ya.,5,1687769355
a*****h,"Quality:barang baek boh
Taste:yang ijo memang sedap sebab saiya suka ini cili ijo,yang merah pula pon sedap.eh dua² pon mantap

Cheers!!!!!!!
Asyik lalu lalang kat fb,jadi saya cuba la,sbb dulu² suka makan sambal nasik padang.tapi ni berbeza la.

Sambal memang baik tak terlalu masin or manis.pedas dia pon tengah².pedas tak pedas tapi kepala berasap .mantap, setakat ni orang pon kate sedap.memang obes la lepas ni.
Okay saiya sapot ,orang rumah kate best saiya pon okay la.
Power bak hang.",5,1689425636
izamohdisa,"Quality:101% bagusss
Taste:10⭐ Secukup rasa Sedap Nikmat bila terasa di lidah.

Benci tau!
Semua salah Sambal Minang Cili Lado sampai saya terlebih makan nasi lunch tadi. 🤣
Buka penutup,bau dia saja dah terasa sedap. Bila makan memang confirm sedap.
Sambal cili hijau tak pedas pada lidah saya yg anti pedas.
Cili merah, lebih pedas dari cili hijau. My favourite sambal cili hijau.
Sambal Minang Cili Lado akan saya bawa travel ke mana2 mulai saat ini! 🔥🔥🔥",5,1690358380
zarazairin,"Quality:Dipacking dgn baik.
Taste:Sedap

Saya suka sambal minang ni. Sedap di makan begitu saja dgn nasi panas - panas atau boleh juga di tumis dgn bahan yg lain.
Boleh order lagi",5,1695185364
farhan_dahan,"Taste:belum rasa. tapi bau sedap
Quality:kagum dengan packaging. saya kini walado",5,1691666386
a*****0,"Taste:sedap

Terbaik, pembungkusan secara selamat, rasa yg enak, pasti akan repeat order lg!",5,1697369242
s*****a,"Quality:ok kot.. boleh telan
Taste:mabeles

Dh makn.. superbbbbb.. boleh repeat kalau ada offerr kaw2… packaging pom bagus.. delivery.. 4 ari.. seller pom sngt responsive.. tokey sendiri kot tuan afiq. 👍👍👍👍👍",5,1697525480
shopwithehwan,"Taste:sedap. pedas-pedas manjahh
Quality:very good

Sesuai dimakan sebagai penambah rasa makanan & nasi goreng. Pada aku x pedas sgt, tapi mmg just nice la utk tambah selera. Must try!",5,1697330624
tnsyadzan,"Quality:good
Taste:nice

Safely received with good packaging and nice taste",5,1697368151
niksakerah,"Taste:belum rasa
Quality:pembungkusan bagusss.. wrap tebal..",5,1697353923
r*****s,"Taste:Paling kena dengan selera saya setakat ni
Quality:Kualiti pembungkusan bagus.

Dah lama nak cari sambal masak macam ni yg tak rasa gula. Biasa beli sambal lain sbelum ni, baca review tak manis..tapi bila beli tetap lah rasa gulanya, termasuk sambal viral 😅. Lain org, lain selera, ye dokk?

Saya dpt tau dari hantaran2 FB Pempengeruh Media Sosial Negara, terus order. Hari ni bawak p opis, pelbagai feedback dapat..majoriti populasi mmg bgtw sedap kalau tambah gula sikit. Tp sbg pihak minoriti yg tak suka kehadiran gula dlm sambal, saya merayu supaya pemilik produk tak tambah gula dlm resepi, kekalkan produk ni mcm ni. InsyaAllah, populasi yg tak suka gula dlm sambal akan repeat order selagi ada hayat. Klw nak jugak tambah gula dlm resepi, mohon keluarkan variasi lain & kekalkan yg ni dlm production. Terima kasih.",5,1689348927
solahhasny312,Beli sebab terpengaruh dengan pempengeruh..rasa memuaskan dan sedap.. yang paling penting minyak tak terlalu banyak dan sangat sesuai guna sebagai perencah nasi goreng..memang terbaik,5,1695687923
a*****5,"Quality:bagus
Taste:sedap

hasil dari propaganda pempengeruh nasional di facebook, maka saya pun masuklah ke live shopee cili lado. tanpa membuang masa, saya pun order dan bayar. 

sambal selamat sampai. padu betul bungkusan. pasti tak pecah kalau jatuh biasa². kalau dihempap gajah, pastilah pecah. 

saya buka sambal merah dan aromanya menusuk. ambil sedikit, letak di tapak tangan dan makan. 

satu je nak tulis. PADU. pedas. rasa bawang ada. cukup masin, manis, masam sikit. 

buka sambal hijau pula. aroma tak kuat sangat. ambil sedikit, letak di tapak tangan dan makan. 

aik. SEDAP. pedas. 

tapi sambal merah tetap menjadi pujaan hati. 

inikah yang dinamakan cinta pandang pertama ? 

tadi makan dengan pasta. esok nak makan dengan nasi pula. 

apa² pun, keep up the good product. 

saya dah jadi WALADO. anda bila lagi ?",5,1696611593
t*****6,"Taste:good
Quality:excellent

Tak pedas sgt compare yg merah.just nice je weh.thorbaek pempengaruh 🤩🤩",5,1699169082
a*****6,"Quality:Terbaik
Taste:sedap ..ada rasa masam,manis dan pedas .

Alhamdulillah sambal minang dah sampai dalam keadaan baik . Sedap,secukup rasa . 👍🏼 Terima kasih ..",5,1694612333
chemat091,"Taste:Sedap
Quality:Terbaik

Penghantaran pantas dan item sampai dalam keadaan yang baik. Rasa sambal memang sedap. Terbaik seller! 🫡",5,1698843778
m*****3,"Taste:sedap juga lah
Quality:padu

Habis licin mat nasi putih panas panas plus telur mata dengan kicap. Syahduuu",5,1697290218
kimberjaya,"Quality:kualiti masih elok sebab lambat lagi expired
Taste:first time rasa sambal minang, biasa makan sambal ala-ala kak wok.. dua sambal yg berbeza citarasa

Berlayer-layer bubble wrap bagi menjamin keselamatan sambal. Tq seller & courier. Sambal sampai dengan selamat.

Rasa sambal ni sesuai untuk orang yang tak boleh makan pedas tapi nak makan sambal pedas.

Saya masak nasi banyak asalnya nak tinggal sikit untuk buat goreng guna sambal ni sebagai pes. Tapi tak kesampaian, nasi habis. Malas nak tanak nasi baru untuk goreng. 

Nanti nak cuba rasa sebagai pes pula. Buat kuah tomyam pun macam sesuai ni sebab ada rasa masam-masam sikit.

Saya kini walado katanya.",5,1695566827
h*****n,"Taste:tak kena dgn selera saya
Quality:ok

Packaging ok. Cuma tak kena dgn selera saya.. nak buat mcm mana",4,1694931933
s*****r,"Taste:Padu

Jauh ke Sarawak & lidah org Sarawak ni kebanyakan xtahan pedas tapi yg ni boleh dimaafkan, xsampai seminggu nk licin cuma nak tunggu kurier sampai tu lahai lama sikit xsabar2 dah 😂",5,1689002038
r*****i,"Taste:dap dap
Quality:good

u have brains in your head. u have feet in your shoes. u can steer yourself any direction you choose

bahagia itu sederhana",5,1697347628
farahmunirahh,"Quality:Bagus
Taste:Sedap

Belian kali ke 2 sebab puas hati rasa nya masa beli kali pertama tu. Yang hijau sedap, ikut selera kami tak pedas langsung haha. Yang merah tu yea ada rasa pedas tapi ok la, pedas asli cili fresh. Thanks seller!",5,1698403878
a*****g,"Dari segi rasa, tawar. Yalah tanpa msg, gula dan belacan. Kalau nak sedap, perlu tambah apa2 yg patut. Cili yg merah, pedas. Fast delivery. Bungkus cukup tebal. Cuma ada satu yg kemek penutupnya.",5,1691295538
j*****e,"Taste:ok

Sambal dibungkus dengan bubble wrap tebal..
Potensi botol untuk pecah kurang..
Rasa xdapat nak komen sebab belum rasa lagi..",5,1696542907
m*****2,"Quality:Bagussss
Taste:Sedap

Sedap hingga menjilat jari.. Makan nasi bertambah tambah. Macam mana nak kurus nii...",5,1699628492
alattas1977,"Taste:nice
Quality:good

Penghantaran agak cepat. Pembelian kali kedua. Harap sedap sebab belum rasa lagi",5,1695980437
r*****i,"Taste:dap dap
Quality:ok

bahagia itu sederhana. I remember in 1950, we were only five on Facebook. l, my uncle and three others and I totally don't understand a situation like this. Today we live in a world where people waste their time reading my comment.",5,1697291448
afiqshakirin07,"Taste:sedap
Quality:super packaging

Kita mesti sokong busines org kita
Moga terus maju tuan dalam dunia persambalan
Walado hahahaha nice quotes",5,1692429175
a*****r,"Quality:kualiti baik dan memuaskan
Taste:sedap.. kadang-kadang makan yang brand lain pun okay juga",5,1697500984
faznienajib,"Taste:sedap
Quality:bagus

Penghantaran cepat..balutan kemas dan tiada tertumpah..smpi dengan elok..sambal merah dah cuba pedas yang sedap..",5,1695527371
zulfazliaziz,"Dapat² terus buka dua² sambal. Merah dan Hijau ada rasa yg tersendiri. Bagi saya Merah lebih pedas dan ada rasa masam². Memang kick dan buat bangkit selera. Hijau pula lebih kepada penyedap rasa, cukup lemak manis dan garamnya. Cuba makan dengan nasi goreng, memang kena.

Rasa unik dan tersendiri. Boleh cuba lagi lain kali.",5,1695219744
walk_man810,"Quality:baik
Taste:sedap

Sambal sudah diterima, dibungkus dengan bubble wrap, sambal hijau elok tiada bocor, cuma sambal merah sahaja ada kebocoran, tudung tidak rapat, tapi apapun rasa kena dgn selera. Penghantaran pantas",5,1697211710
akramanuar,"Quality:Good
Taste:Sedap

Saya sudah jadi walado. Anda bila lagi? Hehehehe",5,1694011204
wanna1974,"Quality:ok
Taste:sedap tapi tawar

Rasa sambal ok laa juga tapi sedikit tawar. Rasa lain ok tak pedas sebab sambal hijau. Rasa sambal nya ok. Dibungkus elok tak leaking dan tak rosak.",5,1696589550
shadeasri89,"Quality:Good
Taste:Nice

Maaf Tn Afiq, sambal dah habis ratah. Seedaapp ya Allahh. Sorry ambik gambar semata2 nak coin saja. Tapi review saya ikhlaasss 🥹🥹..  Very fast delivery and at time i exactly need it. Great and considerate packaging wrapped with care. Will reccomend this seller. Thank you",5,1698743540
f*****i,"Taste:Tak pedas, rasa masam² sikit, sesuai mkn. dgn nasi panas dan telur dadar
Quality:sedap jugak, nnti nk try yg merah pulak",4,1697065876
suesani8177,"Taste:sedap....
Quality:terbaikkk...

Sambal minang yang sedap..boleh buat pes masakan..makan dengan mee goreng pun sedap...sambal X pedas sangat..kena dengan citarasa saya..terima kasih seller..",5,1696203704
irma_hazwanis,Sampai dengan selamat tak pecah tak leaking. Syukur join live dapat diskaun. Sambal sedap tak pedas sangat. Ni kalau buat pes nasi goreng pun mesti sedap,5,1698732409
y*****a,"Quality:mantap
Taste:delicious

Buy 1 free 1..Hadiah hari jadi..tq afiq..semoga dilimpahkan rezeki..nanti repeat order lagi 😋😋",5,1698483354
husnanajla15,"Taste:sedap
Quality:best

Penghantaran pantas,packaging tiptop, berbaloi grb ms live..sambal besar",5,1697550184
5zul1796,"Taste:rasa tak kena dengan tekak semua yg ada kat rumah ni
Quality:tutup tak rapat, meleleh

Jujur saya cakap, rasa mmg tak ada, pedas tu rasa hujung2 je. Tu la jangan cepat sangat percaya benda viral. Nasib baik beli masa sale 70%. Maaf tak kena dengan tekak. Orang lain mungkin ok. Takde rasa langsung, pernah makan sambal minang tapi rasa yg ni out. Harap buat improvement. Owner tengok balik review customer yg bagi 3/2/1 bintang. Teruk sangat ni. Siapa nk rasa sambal ni boleh pm",2,1695821488
k*****h,"Quality:Baik
Taste:Sedap

sambal lado dah sampai dah sudah cuba..rasa memang sedap kena dengan tekak..walaup pun bukan orang minang..haha..nanti boleh order lagi yang warna merah pulak..",5,1695338916
jal_88888,"Quality:perfect excellent kene tekak den
Taste:Rasa cukup.

Sodappp... ya allah ..murahkan jeki boss afiqq... Boli Kali ke 2.. tp Kali ke 2 Ada diskaun kaw²
. Da JD walado walaris",5,1697587999
mizzsemesta,Wrap dh nampak kemas tapi tak tahu la kenapa dua2 botol tak dapat nak makan. Mungkin terlalu lama di tangan courier servis. 1 botol retak dan bila dibuka bungkusan penutup terbuka. Dua2 penutup botol dah loose. Penuh minyak. Sambal dah rosak dan bau tidak menyenangkan apabila diterima. Saya tak minta refund pon sebab selalunya seller dan courier servis akan saling tunding jari.,3,1699241554
noorsaadahexclusive,"Quality:good
Taste:sedap

Sedap anak⁴ suka, especially yang sulung ni.. asyik suh beli baru sbb stok dah abih",5,1691486578
n*****8,"Taste:rasa memang sedap cukup rasa walaupun takda gula itu yang penting.kali kedua beli sebab puashati.
Quality:terbaik",5,1698479273
wanahmadsyakir,"Quality:sambal rasa sedap x pedas sangat....quality baik
Taste:rasa x pedas sangat....just  nice👍👍👍",5,1692952413
ecanlew,"Quality:Sedap, tidak terlalu pedas
Taste:sesedap rasa

Yang merah sangat kena dengan selera saya. Tak sampai 3 hari dah habis kena restock lagi ni",5,1696824216
a*****i,"Quality:ok
Taste:ok

Sambal agak banyak minyak dan terlalu cair. Agak tak sesuai dengan saya. Lain org lain lain lah lidahnya huhu",5,1689936847
officialshalogin,"Taste:tak sedap
Quality:so so

i pecinta sambal expect tinggi...
dengan harga lagi mahal dari RM13...
nasib baik beli time sale.",5,1697359543
f*****3,"Taste:very good
Quality:very good

First time beli dengan seller ni. Barang semua murah & berpatutan. Postage cepat. Dapat voucher lagi",5,1695395705
a*****9,"Quality:Sangat baik
Taste:Secukup rasa

Sambal tidak terlalu pedas. Secukup rasa. Sesuai dimakan dengan nasi panas2.",5,1696330844
d*****n,"Quality:good
Taste:good

Good quality product. Good value for money. Fast delivery. Excellent service by seller.",5,1695623493
admy3738,"Quality:kualiti material ok..da cuba t, baru boleh komen..
Taste:belum cuba lagi",4,1688192382
sfairuss,"Quality:The product was secure wrapped
Taste:Tasty! The green chilli paste is aromatic!

Thanks to seller and of course the 'pempengeruh' to promote this sambal. I was not expecting this chilli paste so appetizing and love the aroma once I open it up😩. This chilli paste was not similar to any brand I had tried before, it was very tempting🤤 I do not know maybe the way you cooked in Minang style or even sautéing the chilli😂 Guys you must try it👍Now I become a 'walado', ko hado?",5,1695721420
marinaghtechno,Diterima dalam keadaan baik. Bungkusan bubble tebal & selamat. Rasa sambal puashati. Terima kasih boss cili lado & team.,5,1697436994
k*****n,"Quality:Baik
Taste:Baik

Pesanan selamat diterima dalam keadaan baik kerana dibalut dengan plastik gelembung yang sangat tebal bagi memastikan botol tidak akan pecan walaupun dibaling 👍🏼",5,1690197794
a*****.,"Sampai dgn baik dan selamat. Packaging biasa tp kemas. Unexpected bottle. Ingat ke yg kecik biasa sampai. Tp yg besar sikit dan cukup berbaloi dgn harga. Tengok tulisan sambal minang pun dah kecur air liur, tak terbayang apa jadi kalau letak gambar duta cili lado😂🤣 pempengeruh punya penangan la ni sampai aku pun terjebak beli. Takpo, support. Barang confirm kualiti baik. Next akan repeat 2 botol pulak. Thanks. Servis utk sambal minang ni memang tip top betul lah.",5,1689832283
pali_john,"Quality:good
Taste:sedeppp!!

Taukey memang thorbaik..pantas respon sebab beli 2 jenis & salah 1 botol leaking.terus whatspp taukey..terus dpt gantian.kipidap tokey",5,1695559397
f*****z,"Quality:terbaik
Taste:sedap

Beli Kali ke3. Family suka sambal minang ni. Berbaloi beli combo ketika live.pasti Akan beli lagi.",5,1696418467
t*****6,"Quality:excellent
Taste:sedap banget

Sedap pedas dia tak over bole repeat lagi",5,1699185980
n*****n,"Taste:Sedap
Quality:Terbaik

Pedas dia ngam untuk orang yang bukan hantu pedas. Kalau hantu pedas dia rasa biasa kot. Suka sambal ni sebab takde biji cili. Antara sambal merah dengan hijau, lagi suka yang merah.",5,1697215730
b*****b,"Packing tebal memang terbaik.
Penghantaran pon cepat dan pantas.
Moga team cili lado Akan berkembang maju dimasa akan datang.",5,1696003454
syafer91,"Taste:Hopefully tasty and berbaloi dengan harganya
Quality:Tak try lagi, baru sampai.

Packaging solid. Probability botol nak pecah sangat rendah. Beli sebab Duta Cili Lado selalu promote di FB page beliau. Racun kuat sangat.",5,1697712299
shahmacha,"Taste:rasa dia memang unik
Quality:kualiti bungkus memang terbaik",5,1698062344
nck1108,"Quality:good
Taste:very nice

Bought it cause the pempengaruh harris intro it in his page. Well it is good. I like how it elevated the taste of the normally boring economy fried mee.. will buy it again.",5,1690222878
b*****4,"Taste:ok
Quality:ok

Semua okay. Packaging secure. Service laju. Cuma tak kena dengan tekak saya, itu sahaja. 👍🏼",5,1696879010
h*****l,"Quality:sambal tu mcm yang diwar2kan
Taste:ada pedas, ada masam, ada manis

Baru bukak yang merah, sbb jarang jarang makan, tp leh kata kategori sambal yang sedap. 

Xboleh nak compare sgt dgn brand lain, beli sebab pempengeruh rekemen, saja cuba produk usahawan tempatan.

Sambal ni mmg nice, boleh cuba beli.",5,1688777745
234latifah,"Taste:Pedas dan sedap
Quality:Kualiti yg baik

Barang sampai cepat. Pembungkusan amat baik. Rasa sambal pun sedap. Boleh beli lagi nanti",5,1657790808
alattas1977,"Taste:nice
Quality:good

Sejujurnya belum buka dan belum rasa lagi. Harap sedaplah. Penghantaran agak pantas tapi boleh diperbaiki lagi",5,1695226761
amarsa13,"Taste:belum rasa lagi
Quality:nampak dari luar bungkusan elok

Penghantaran elok, berbalut tebal balutan buih tu. 

Tak rasa lagi kalau rasa aku review balik…

Cis terpakso la pulak aku jadi WALADO, ni termakan hasutan harris nasril na nih… siut 😂😂😂",5,1693576686
a*****h,"Taste:Yang hijau sebiji rasa sambal ikan keli. Yang merah sedap ada rasa tersendiri ada biji2 cili ni yang saya suka
Quality:Hadir support, saya lebih gemar sambal merah berbanding hijau, rasa tak pedas sangat , pekena dengan nasi panas2 memang terbaik",5,1691213404
m*****m,Good product quality and good value for money. Fast shipping and fast delivery. Good packaging 👍,5,1692511533
wanfederer,"Quality:Sangat berkualiti, packaging pun sgt cantik
Taste:Sedap giler

Sejujurnya sambal ni lagi sedap daripada KA sambal nyet tu.
Rasa masam masin manis ada.. minyak pun nice².. pedas takdelah terlalu pedas (pedas lgi sambal KA smp tak boleh nak telan langsung). Senang citer rasa balance sgt la,, all around sambal..(boleh buat rencah nasi grg, makan cicah ayam/daging atau cicah sayuran/ulam)

Tapi satu je pasal rupa sambal ni, korg yg beli jgn la expect rupa sambal tu sebijik mcm kat kedai² makan nasi padang tu sbb dorg prepare utk hidang utk waktu² tertentu. Yg versi Cili Lado dia jadi mcm rupa paste tu mungkin sbb cara pembuatan nya mcm tu utk kekalkan kesegaran.. apa² pun bg saya rasa sambal mmg mantap sama mcm korg makan kt kedai.. gambar sambal kat bawah tu (kiri tu sambal merah dan kanan sambal hijau). Yg bekas kecik tu sambal belacan dpt dr kedai masa order nasi grg.. saja nk buat comparison wicis sambal minang ni jgk yg terbaik.. saya akan repeat beli lagi utk akan dtg..",5,1687593659
